cycle,contestant,elimination-1,elimination-2,elimination-3,elimination-4,elimination-5,elimination-6,elimination-7,elimination-8,elimination-9,elimination-10,elimination-11,elimination-12,elimination-13
8,Diana,4.0,3.5,5.666666666666667,6.0,6.6,0,0,0,0,0,0,0,0
8,Samantha,5.0,8.5,0,0,0,0,0,0,0,0,0,0,0
8,Brittany,2.0,3.5,2.6666666666666665,2.75,2.8,3.0,3.0,3.25,3.4444444444444446,0,0,0,0
8,Dionne,9.0,8.0,6.666666666666667,7.25,6.2,5.666666666666667,5.0,4.875,4.777777777777778,4.7,0,0,0
8,Kathleen,13.0,0,0,0,0,0,0,0,0,0,0,0,0
8,Whitney,10.0,9.5,8.666666666666666,7.5,7.6,7.5,7.428571428571429,0,0,0,0,0,0
8,Sarah,8.0,9.0,7.0,7.25,6.8,7.0,0,0,0,0,0,0,0
8,Cassandra,6.0,6.0,7.666666666666667,0,0,0,0,0,0,0,0,0,0
8,Natasha,11.0,11.0,10.0,8.0,6.6,5.833333333333333,5.285714285714286,4.75,4.444444444444445,4.3,4.090909090909091,3.9166666666666665,0
9,Sarah,4.0,4.5,3.6666666666666665,4.75,4.8,5.333333333333333,0,0,0,0,0,0,0
9,Chantal,3.0,3.5,5.333333333333333,5.0,5.2,5.5,5.285714285714286,4.75,4.555555555555555,4.2,3.909090909090909,3.75,0
9,Janet,9.0,9.0,7.666666666666667,8.25,0,0,0,0,0,0,0,0,0
9,Heather,1.0,1.5,2.0,3.25,3.2,3.0,3.2857142857142856,3.5,3.6666666666666665,0,0,0,0
9,Mila,13.0,0,0,0,0,0,0,0,0,0,0,0,0
9,Victoria,8.0,7.5,8.666666666666666,0,0,0,0,0,0,0,0,0,0
9,Bianca,11.0,11.0,10.0,8.0,7.2,6.666666666666667,5.857142857142857,5.5,5.111111111111111,5.0,0,0,0
9,Kimberly,10.0,11.0,0,0,0,0,0,0,0,0,0,0,0
9,Lisa,2.0,2.5,3.0,2.5,3.4,3.0,3.4285714285714284,3.75,0,0,0,0,0
9,Jenah,5.0,3.0,2.3333333333333335,3.0,2.8,3.3333333333333335,3.142857142857143,3.25,3.3333333333333335,3.3,3.272727272727273,0,0
9,Ambreal,7.0,6.5,6.333333333333333,7.0,7.4,7.0,7.0,0,0,0,0,0,0
9,Saleisha,6.0,7.0,8.0,7.5,6.2,5.666666666666667,5.285714285714286,4.875,4.444444444444445,4.2,4.0,3.75,0
9,Ebony,12.0,11.0,9.666666666666666,8.0,8.0,0,0,0,0,0,0,0,0
10,Anya,7.0,0,4.0,4.0,4.25,3.8,3.3333333333333335,3.2857142857142856,3.25,3.0,2.8,2.727272727272727,0
10,Dominique,10.0,10.5,8.666666666666666,7.0,6.8,6.666666666666667,6.142857142857143,5.875,5.444444444444445,5.3,0,0,0
10,Atalya,13.0,0,0,0,0,0,0,0,0,0,0,0,0
10,Claire,2.0,3.0,3.3333333333333335,3.25,4.2,4.833333333333333,0,0,0,0,0,0,0
10,Allison,11.0,11.5,0,0,0,0,0,0,0,0,0,0,0
10,Fatima,6.0,6.0,7.333333333333333,7.5,6.6,5.666666666666667,5.714285714285714,5.125,4.666666666666667,4.5,4.363636363636363,0,0
10,Aimee,5.0,4.0,5.666666666666667,5.75,6.4,0,0,0,0,0,0,0,0
10,Whitney,3.0,5.5,4.333333333333333,5.5,4.6,4.5,4.571428571428571,4.625,4.555555555555555,4.3,4.090909090909091,3.8333333333333335,0
10,Kim,14.0,0,0,0,0,0,0,0,0,0,0,0,0
10,Marvita,0,2.0,5.0,6.666666666666667,0,0,0,0,0,0,0,0,0
10,Lauren,4.0,5.5,0,5.333333333333333,5.75,0,5.0,5.166666666666667,0,0,0,0,0
10,Katarzyna,8.0,8.5,8.0,0,6.5,5.8,5.5,5.0,5.0,0,0,0,0
10,Amis,12.0,11.0,11.0,0,0,0,0,0,0,0,0,0,0
10,Stacy-Ann,9.0,7.0,6.666666666666667,6.75,0,6.8,0,0,0,0,0,0,0
11,Isis,2.0,7.0,7.666666666666667,8.25,0,0,0,0,0,0,0,0,0
11,Clark,10.0,9.5,9.0,7.0,7.4,0,0,0,0,0,0,0,0
11,Hannah,12.0,10.0,10.0,10.25,0,0,0,0,0,0,0,0,0
11,Samantha,6.0,6.0,5.0,6.0,5.0,4.833333333333333,4.571428571428571,4.5,4.111111111111111,4.0,3.8181818181818183,3.6666666666666665,0
11,Nikeysha,13.0,13.0,0,0,0,0,0,0,0,0,0,0,0
11,McKey,3.0,4.0,4.0,4.25,4.0,3.8333333333333335,4.0,3.625,3.4444444444444446,3.3,3.090909090909091,2.9166666666666665,0
11,Brittany,7.0,8.5,9.666666666666666,0,0,0,0,0,0,0,0,0,0
11,Elina,5.0,3.5,2.6666666666666665,4.0,4.0,4.166666666666667,4.428571428571429,4.5,4.555555555555555,0,0,0,0
11,Analeigh,9.0,10.0,10.333333333333334,8.25,7.0,6.166666666666667,5.428571428571429,5.0,4.777777777777778,4.4,4.2727272727272725,0,0
11,Marjorie,1.0,2.5,4.0,4.5,4.6,4.0,4.0,3.875,3.888888888888889,3.9,0,0,0
11,Sheena,8.0,7.5,6.666666666666667,6.0,6.2,6.333333333333333,5.714285714285714,5.75,0,0,0,0,0
11,Lauren Brie,11.0,6.0,4.666666666666667,4.25,4.6,5.166666666666667,0,0,0,0,0,0,0
11,Sharaun,14.0,0,0,0,0,0,0,0,0,0,0,0,0
11,Joslyn,4.0,3.5,4.333333333333333,5.0,5.6,5.666666666666667,5.857142857142857,0,0,0,0,0,0
12,Natalie,8.0,6.0,7.0,6.25,6.2,5.5,5.142857142857143,5.25,0,0,0,0,0
12,Kortnie,7.0,8.0,7.333333333333333,8.0,0,0,0,0,0,0,0,0,0
12,Jessica,11.0,11.5,0,0,0,0,0,0,0,0,0,0,0
12,Teyona,3.0,2.0,4.0,3.5,3.2,3.1666666666666665,2.857142857142857,2.75,2.5555555555555554,2.5,2.4545454545454546,2.3333333333333335,0
12,Tahlia,10.0,8.5,6.666666666666667,5.25,4.8,5.333333333333333,0,0,0,0,0,0,0
12,Sandra,12.0,10.0,7.0,7.5,7.8,0,0,0,0,0,0,0,0
12,Aminat,9.0,9.5,7.0,6.75,6.2,6.166666666666667,6.142857142857143,6.0,5.666666666666667,5.4,5.181818181818182,0,0
12,Allison,1.0,2.0,4.666666666666667,4.25,4.4,4.833333333333333,4.857142857142857,4.375,4.111111111111111,3.8,3.5454545454545454,3.4166666666666665,0
12,Isabella,13.0,0,0,0,0,0,0,0,0,0,0,0,0
12,London,4.0,4.5,5.333333333333333,5.25,5.6,5.5,5.714285714285714,0,0,0,0,0,0
12,Nijah,6.0,6.0,7.666666666666667,0,0,0,0,0,0,0,0,0,0
