cycle,contestant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
13,Rachel,8,13,0,0,0,0,0,0,0,0,0,0,0
13,Lulu,7,9,11,0,0,0,0,0,0,0,0,0,0
13,Brittany,11,2,10,1,1,3,3,6,0,0,0,0,0
13,Jennifer,3,6,5,2,1,5,1,2,1,3,0,0,0
13,Erin,6,1,3,5,7,4,6,5,4,3,0,0,0
13,Kara,10,5,1,8,8,8,0,0,0,0,0,0,0
13,Courtney,5,12,0,0,0,0,0,0,0,0,0,0,0
13,Lisa,14,0,0,0,0,0,0,0,0,0,0,0,0
13,Nicole,2,4,2,4,5,1,2,1,2,1,1,0,0
14,Angelea,2,7,2,6,2,1,2,4,3,3,0,0,0
14,Alasia,12,8,1,1,4,7,5,6,0,0,0,0,0
14,Jessica,1,10,3,7,1,6,4,5,5,0,0,0,0
14,Brenda,4,9,10,4,6,8,0,0,0,0,0,0,0
14,Krista,11,2,5,8,3,2,1,1,1,1,1,0,0
14,Simone,5,5,8,10,0,0,0,0,0,0,0,0,0
14,Tatianna,6,4,7,3,9,0,0,0,0,0,0,0,0
14,Naduah,9,12,0,0,0,0,0,0,0,0,0,0,0
14,Ren,3,11,11,0,0,0,0,0,0,0,0,0,0
14,Alexandra,10,6,4,5,8,4,6,2,2,3,0,0,0
14,Raina,8,1,6,2,7,3,3,3,4,2,2,0,0
14,Anslee,7,3,9,9,5,5,7,0,0,0,0,0,0
14,Gabrielle,13,0,0,0,0,0,0,0,0,0,0,0,0
15,Esther,8,10,3,6,4,7,7,0,0,0,0,0,0
15,Chelsey,3,3,9,3,6,4,3,3,2,2,2,0,0
15,Kacey,11,8,2,7,9,0,0,0,0,0,0,0,0
15,Lexie,5,11,6,10,0,0,0,0,0,0,0,0,0
15,Ann,1,1,1,1,1,3,6,4,3,1,1,0,0
15,Sara,12,12,0,0,0,0,0,0,0,0,0,0,0
15,Anamaria,14,0,0,0,0,0,0,0,0,0,0,0,0
15,Terra,13,13,0,0,0,0,0,0,0,0,0,0,0
15,Kayla,2,2,7,4,8,2,4,1,1,3,0,0,0
15,Rhianna,10,5,11,0,0,0,0,0,0,0,0,0,0
15,Chris,9,4,4,2,5,5,1,5,5,0,0,0,0
15,Jane,7,7,8,9,2,6,2,2,4,3,0,0,0
15,Liz,6,6,10,5,7,1,5,6,0,0,0,0,0
15,Kendal,4,9,5,8,3,8,0,0,0,0,0,0,0
16,Ondrei,7,13,0,0,0,0,0,0,0,0,0,0,0
16,Alexandria,3,8,1,9,5,6,5,1,4,4,0,0,0
16,Dominique,13,6,11,0,0,0,0,0,0,0,0,0,0
16,Angelia,14,0,0,0,0,0,0,0,0,0,0,0,0
16,Hannah,6,1,6,2,1,5,3,2,3,3,3,0,0
16,Mikaela,4,4,9,7,7,7,7,0,0,0,0,0,0
16,Sara,12,7,10,10,0,0,0,0,0,0,0,0,0
