cycle,contestant,age,height,hometown,finish,place
4,Michelle Deighton,19,5 ft 10 in,"Terre Haute, Indiana",Episode 9,6
4,Christina Murphy,24,5 ft 10 in,"Tallahassee, Florida",Episode 10,5
4,Brittany Brower,22,5 ft 11 in,"Tallahassee, Florida",Episode 11,4
4,Keenyah Hill,19,5 ft 11 in,"Compton, California",Episode 13,3
4,Kahlen Rondot,21,5 ft 8 in,"Broken Arrow, Oklahoma",Episode 13,2
4,Naima Mora,20,5 ft 9 in,"Detroit, Michigan",Episode 13,1
5,Ashley Black,22,5 ft 8 in,"Fort Lauderdale, Florida",Episode 2,13
5,Ebony Taylor,18,5 ft 10 in,"Sylmar, California",Episode 3,12
5,Cassandra Whitehead,19,5 ft 7 in,"Houston, Texas",Episode 4,11
5,Sarah Rhoades,18,5 ft 9 in,"Boonville, Missouri",Episode 4,10
5,Diane Hernandez,23,5 ft 11 in,"Orlando, Florida",Episode 5,9
5,Coryn Woitel,19,5 ft 9 in,"Minneapolis, Minnesota",Episode 6,8
5,Kyle Kavanagh,19,5 ft 10 in,"Dexter, Michigan",Episode 7,7
5,Lisa D'Amato,24,5 ft 10 in,"Los Angeles, California",Episode 10,6
5,Kim Stolz,21,5 ft 8 in,"New York, New York",Episode 11,5
5,Jayla Rubinelli,20,5 ft 9 in,"Tucson, Arizona",Episode 12,4
5,Bre Scullark,20,5 ft 8 in,"Harlem, New York",Episode 13,3
5,Nik Pace,21,5 ft 9 in,"Atlanta, Georgia",Episode 12,2
5,Nicole Linkletter,20,5 ft 9 in,"Grand Forks, North Dakota",Episode 12,1
6,Kathy Hoxit,20,5 ft 9 in,"Brevard, North Carolina",Episode 2,13
6,Wendy Wiltz,22,5 ft 9.5 in,"New Orleans, Louisiana",Episode 3,12
6,Kari Schmidt,18,5 ft 8 in,"Brookings, South Dakota",Episode 4,11
6,Gina Choe,21,5 ft 8.5 in,"Odessa, Florida",Episode 5,10
6,Mollie Sue Steenis,25,5 ft 9 in,"Tampa, Florida",Episode 6,9
6,Leslie Mancia,18,5 ft 10 in,"Higley, Arizona",Episode 7,8
6,Brooke Staricha,22,5 ft 11 in,"Corpus Christi, Texas",Episode 8,7
6,Nnenna Agba,24,5 ft 9.5 in,"Houston, Texas",Episode 9,6
6,Furonda Brasfield,24,5 ft 11 in,"Stuttgart, Arkansas",Episode 11,5
6,Sara Albert,22,6 ft 1 in,"Davis, California",Episode 12,4
6,Jade Cole,26,5 ft 9 in,"New York, New York",Episode 13,3
6,Joanie Dodds,24,5 ft 9 in,"Beaver Falls, Pennsylvania",Episode 12,2
6,Danielle Evans,20,5 ft 11 in,"Little Rock, Arkansas",Episode 12,1
7,Christian Evans,19,,"Columbia, South Carolina",Episode 2,13
7,Megan Morris,23,,"San Francisco, California",Episode 3,12
7,Monique Calhoun,19,,"Chicago, Illinois",Episode 4,11
7,Megg Morales,18,,"Los Angeles, California",Episode 5,10
7,A.J. Stewart,20,,"Sacramento, California",Episode 6,9
7,Brooke Miller,18,,"Keller, Texas",Episode 7,8
7,Anchal Joseph,19,,"Homestead, Florida",Episode 9,7
7,Jaeda Young,18,,"Parkersburg, Iowa",Episode 10,6
7,Michelle Babin,18,,"Anaheim, California",Episode 11,5
7,Amanda Babin,18,,"Anaheim, California",Episode 12,4
7,Eugena Washington,21,,"Palmdale, California",Episode 13,3
7,Melrose Bickerstaff,23,,"San Francisco, California",Episode 12,2
7,CariDee English,21,,"Fargo, North Dakota",Episode 12,1
8,Kathleen DuJour,20,,"Brooklyn, New York",Episode 2,13
8,Samantha Francis,19,,"Pinson, Alabama",Episode 3,12
8,Cassandra Watson,24,,"Seattle, Washington",Episode 4,11
8,Felicia Provost,19,,"Houston, Texas",Episode 5,10
8,Diana Zalewski,21,,"Garfield, New Jersey",Episode 6,9
8,Sarah VonderHaar,20,,"Lake Zurich, Illinois",Episode 7,8
8,Whitney Cunningham,21,,"West Palm Beach, Florida",Episode 8,7
8,Jael Strauss,22,,"Detroit, Michigan",Episode 9,6
8,Brittany Hatch,21,,"Savannah, Georgia",Episode 11,5
8,Dionne Walters,20,,"Montgomery, Alabama",Episode 12,4
8,Renee DeWitt,20,,"Maui, Hawaii",Episode 13,3
8,Natasha Galkina,21,,"Dallas, Texas",Episode 12,2
8,Jaslene Gonzalez,20,,"Chicago, Illinois",Episode 12,1
9,Mila Bouzinova,20,,"Boston, Massachusetts",Episode 2,13
9,Kimberly Leemans,20,,"Ocala, Florida",Episode 3,12
9,Victoria Marshman,20,,"New Haven, Connecticut",Episode 4,11
9,Janet Mills,22,,"Bainbridge, Georgia",Episode 5,10
9,Ebony Morgan,20,,"Chicago, Illinois",Episode 6,9
9,Sarah Hartshorne,20,,"Heath, Massachusetts",Episode 8,8
9,Ambreal Williams,19,,"Dallas, Texas",Episode 9,7
9,Lisa Jackson,20,,"Jersey City, New Jersey",Episode 10,6
9,Heather Kuzmich,21,,"Valparaiso, Indiana",Episode 11,5
9,Bianca Golden,18,,"Queens, New York",Episode 12,4
9,Jenah Doucette,18,,"Farmington, Connecticut",Episode 13,3
9,Chantal Jones,19,,"Austin, Texas",Episode 12,2
9,Saleisha Stowers,21,,"Los Angeles, California",Episode 12,1
10,Kim Rydzewski _ã_,20,,"Worcester, Massachusetts",Episode 2,14
10,Atalya Slater,18,,"Brooklyn, New York",Episode 2,13
10,Allison Kuehn,19,,"Waunakee, Wisconsin",Episode 3,12
10,Amis Jenkins,20,,"Bartlesville, Oklahoma",Episode 4,11
10,Marvita Washington,23,,"San Francisco, California",Episode 5,10
10,Aimee Wright,18,,"Spanaway, Washington",Episode 6,9
10,Claire Unabia,24,,"New York, New York",Episode 7,8
10,Stacy-Ann Fequiere,22,,"Miami, Florida",Episode 9,7
10,Lauren Utter,22,,"Brooklyn, New York",Episode 10,6
10,Katarzyna Dolinska,22,,"Roslyn, New York",Episode 11,5
10,Dominique Reighard,23,,"Columbus, Ohio",Episode 12,4
10,Fatima Siad,22,,"Boston, Massachusetts",Episode 13,3
10,Anya Kop,19,,"Honolulu, Hawaii",Episode 13,2
10,Whitney Thompson,20,,"Atlantic Beach, Florida",Episode 13,1
11,Sharaun Brown,18,,"Chicago, Illinois",Episode 2,14
11,Nikeysha Clarke,19,,"Bronx, New York",Episode 3,13
11,Brittany Rubalcaba,19,,"Henderson, Nevada",Episode 4,12
11,Hannah White,18,,"Fairbanks, Alaska",Episode 5,11
11,Isis King,22,,"Prince George's County, Maryland",Episode 5,10
11,Clark Gilmer,19,,"Pawleys Island, South Carolina",Episode 6,9
11,Lauren Brie Harding,20,,"Charlottesville, Virginia",Episode 7,8
11,Joslyn Pennywell,23,,"Lucky, Louisiana",Episode 9,7
11,Sheena Sakai,21,,"Harlem, New York",Episode 10,6
11,Elina Ivanova,18,,"Seattle, Washington",Episode 11,5
11,Marjorie Conrad,19,,"San Francisco, California",Episode 12,4
11,Analeigh Tipton,19,,"Sacramento, California",Episode 13,3
11,Samantha Potter,18,,"Woodland Hills, California",Episode 13,2
11,McKey Sullivan,19,,"Lake Forest, Illinois",Episode 13,1
12,Isabella Falk,19,,"Barboursville, Virginia",Episode 2,13
12,Jessica Santiago,18,,"Caguas, Puerto Rico",Episode 3,12
12,Nijah Harris,18,,"Rancho Cucamonga, California",Episode 4,11
12,Kortnie Coles,24,,"Houston, Texas",Episode 5,10
12,Sandra Nyanchoka,19,,"Rockville, Maryland",Episode 6,9
12,Tahlia Brookins,18,,"Phoenix, Arizona",Episode 7,8
12,London Levi,18,,"Arlington, Texas",Episode 9,7
12,Natalie Pack,19,,"Palos Verdes, California",Episode 10,6
12,Fo Porter,19,,"Albuquerque, New Mexico",Episode 11,5
12,Celia Ammerman,25,,"Cynthiana, Kentucky",Episode 12,4
12,Aminat Ayinde,21,,"Union, New Jersey",Episode 13,3
12,Allison Harvard,20,,"New Orleans, Louisiana",Episode 13,2
12,Teyona Anderson,20,,"Woodstown, New Jersey",Episode 13,1
13,Lisa Ramos,19,5 ft 5 in,"Queens, New York",Episode 2,14
13,Rachel Echelberger,18,5 ft 5 in,"Woodland, California",Episode 3,13
13,Courtney Davies,22,5 ft 4 in,"Plantation, Florida",Episode 3,12
13,Lulu Braithwaite,19,5 ft 7 in,"Brooklyn, New York",Episode 4,11
13,Bianca Richardson,21,5 ft 7 in,"Columbia, South Carolina",Episode 5,10
13,Ashley Howard,22,5 ft 6 in,"Chicago, Illinois",Episode 6,9
13,Kara Vincent,18,5 ft 7 in,"Fort Wayne, Indiana",Episode 7,8
13,Rae Weisz,21,5 ft 6 in,"Rochester, Minnesota",Episode 8,7
13,Brittany Markert,21,5 ft 5 in,"Livermore, California",Episode 9,6
13,Sundai Love,18,5 ft 3 in,"Bakersfield, California",Episode 10,5
13,Jennifer An,23,5 ft 5 in,"Philadelphia, Pennsylvania",Episode 11,3
13,Erin Wagner,18,5 ft 6 in,"Spring Grove, Illinois",Episode 11,3
13,Laura Kirkpatrick,19,5 ft 6 in,"Stanford, Kentucky",Episode 12,2
13,Nicole Fox,18,5 ft 7 in,"Louisville, Colorado",Episode 12,1
14,Gabrielle Kniery,18,5 ft 7.5 in,"St. Louis, Missouri",Episode 2,13
14,Naduah Rugely,22,5 ft 7 in,"San Diego, California",Episode 2,12
14,Ren Vokes,22,5 ft 9 in,"Dallas, Texas",Episode 3,11
14,Simone Lewis,19,5 ft 10 in,"Lenexa, Kansas",Episode 4,10
14,Tatianna Kern,21,5 ft 9 in,"Ewa Beach, Hawaii",Episode 5,9
14,Brenda Arens,23,5 ft 11 in,"Houston, Texas",Episode 6,8
14,Anslee Payne-Franklin,23,5 ft 9 in,"Dacula, Georgia",Episode 7,7
14,Alasia Ballard,18,5 ft 9.75 in,"Marietta, Georgia",Episode 8,6
14,Jessica Serfaty,18,5 ft 9 in,"Conway, Arkansas",Episode 9,5
14,Angelea Preston,23,5 ft 10 in,"Buffalo, New York",Episode 10,3
14,Alexandra Underwood,21,5 ft 11 in,"Kerrville, Texas",Episode 10,3
14,Raina Hein,22,5 ft 9 in,"Minnetonka, Minnesota",Episode 11,2
14,Krista White,24,5 ft 9 in,"Pine Bluff, Arkansas",Episode 11,1
15,Anamaria Mirdita,18,5 ft 10 in,"Queens, New York",Episode 2,14
15,Terra White,24,5 ft 8.5 in,"Arlington, Texas",Episode 3,13
15,Sara Blackamore,21,5 ft 10 in,"Menifee, California",Episode 3,12
15,Rhianna Atwood,20,6 ft 1.5 in,"San Diego, California",Episode 4,11
15,Lexie Tomchek,18,6 ft 0 in,"Geneva, Illinois",Episode 5,10
15,Kacey Leggett,20,5 ft 9 in,"Palmdale, California",Episode 6,9
15,Kendal Brown,23,5 ft 11 in,"Northport, Alabama",Episode 7,8
15,Esther Petrack,18,5 ft 9 in,"Boston, Massachusetts",Episode 8,7
15,Liz Williams,21,5 ft 10 in,"Arlington, Texas",Episode 9,6
15,Chris White,20,5 ft 10.5 in,"Arlington, Texas",Episode 10,5
15,Kayla Ferrel,19,5 ft 9 in,"Rockford, Illinois",Episode 11,3
15,Jane Randall,19,5 ft 9 in,"Baltimore, Maryland",Episode 11,3
15,Chelsey Hersley,22,5 ft 10.75 in,"Boise, Idaho",Episode 13,2
15,Ann Ward,19,6 ft 2 in,"Dallas, Texas",Episode 13,1
16,Angelia Alvarez,20,5 ft 10 in,"Miami, Florida",Episode 1,14
16,Ondrei Edwards,18,5 ft 7 in,"Muskegon, Michigan",Episode 2,13
16,Nicole Lucas,20,5 ft 11 in,"Orlando, Florida",Episode 2,12
16,Dominique Waldrup,23,5 ft 9 in,"Houston, Texas",Episode 3,11
16,Sara Longoria,18,5 ft 10 in,"Edinburg, Texas",Episode 4,10
16,Dalya Morrow,21,5 ft 9 in,"Corona, California",Episode 5,9
16,Monique Weingart,19,5 ft 11 in,"Hebron, Illinois",Episode 6,8
16,Mikaela Schipani,21,5 ft 9 in,"Boca Raton, Florida",Episode 7,7
16,Jaclyn Poole,19,5 ft 10 in,"Belton, Texas",Episode 8,6
16,Kasia Pilewicz,26,5 ft 9 in,"Wheaton, Illinois",Episode 10,5
16,Alexandria Everett,21,5 ft 10 in,"Newport Beach, California",Episode 11,4
16,Hannah Jones,20,5 ft 10 in,"Houston, Texas",Episode 12,3
16,Molly O'Connell,22,5 ft 10 in,"Charleston, South Carolina",Episode 13,2
16,Brittani Kline,19,5 ft 10.5 in,"Beech Creek, Pennsylvania",Episode 13,1
17,Brittany Brower,29,,"Tallahassee, Florida",Episode 1,14
17,Sheena Sakai,24,,"Harlem, New York",Episode 2,13
17,Isis King,25,,"Prince George's County, Maryland",Episode 3,12
17,Camille McDonald,33,,"Bronx, New York",Episode 4,11
17,Bre Scullark,26,,"Harlem, New York",Episode 6,10
17,Kayla Ferrel,20,,"Rockford, Illinois",Episode 7,8
17,Bianca Golden,22,,"Queens, New York",Episode 7,8
17,Alexandria Everett,22,,"Newport Beach, California",Episode 8,7
17,Shannon Stewart,26,,"Franklin, Ohio",Episode 9,6
17,Dominique Reighard,26,,"Columbus, Ohio",Episode 10,5
17,Laura Kirkpatrick,21,,"Stanford, Kentucky",Episode 12,4
17,Angelea Preston,24,,"Buffalo, New York",Episode 13,3
17,Allison Harvard,23,,"New Orleans, Louisiana",Episode 13,2
17,Lisa D'Amato,30,,"Los Angeles, California",Episode 13,1
18,Jasmia Robinson,24,5 ft 8.5 in,"London, England",Episode 1,14
18,Mariah Watchman,20,,"Pendleton, Oregon",Episode 2,13
18,Louise Watts,24,5 ft 8.5 in,"London, England",Episode 3,12
18,Candace Smith,22,5 ft 9 in,"Brooklyn, New York",Episode 4,11
18,Ashley Brown,22,5 ft 8 in,"Armadale, Scotland",Episode 5,10
18,AzMarie Livingston,24,5 ft 9.75 in,"Milwaukee, Wisconsin",Episode 6,9
18,Kyle Gober,20,5 ft 10 in,"Magnolia, Texas",Episode 7,8
18,Seymone Cohen-Fobish,19,5 ft 11 in,"Augusta, Georgia",Episode 8,7
18,Catherine Thomas,22,5 ft 9 in,"Folkestone, England",Episode 9,6
18,Eboni Davis,18,5 ft 9 in,"Seattle, Washington",Episode 10,5
18,Alisha White,20,,"South London, England",Episode 10,4
18,Annaliese Dayes,24,5 ft 7 in,"London, England",Episode 11,3
18,Laura LaFrate,20,5 ft 10.5 in,"Scotia, New York",Episode 13,2
18,Sophie Sumner,21,5 ft 9 in,"Oxford, England",Episode 13,1
19,Jessie Rabideau,23,5 ft 9.75 in,"Speedway, Indiana",Episode 2,13
19,Maria Tucker,22,5 ft 7.25 in,"Las Cruces, New Mexico",Episode 3,12
19,Darian Ellis,22,5 ft 9 in,"Baton Rouge, Louisiana",Episode 3,11
19,Destiny Strudwick,18,5 ft 8.5 in,"Columbus, Ohio",Episode 4,10
19,Yvonne Powless,20,5 ft 8.5 in,"Minneapolis, Minnesota",Episode 6,9
19,Allyssa Vuelma,20,5 ft 10.5 in,"Fort Lauderdale, Florida",Episode 7,8
19,Brittany Brown,18,5 ft 10 in,"Gilbert, Arizona",Episode 8,7
19,Victoria Henley,18,5 ft 9.5 in,"Colquitt, Georgia",Episode 9,6
19,Kristin Kagay,19,5 ft 7.25 in,"Jacksonville, Florida",Episode 10,5
19,Nastasia Scott,19,5 ft 8.25 in,"East Stroudsburg, Pennsylvania",Episode 11,4
19,Leila Goldkuhl,20,5 ft 11 in,"Framingham, Massachusetts",Episode 12,3
19,Kiara Belen,22,5 ft 9 in,"Las Vegas, Nevada",Episode 12,2
19,Laura James,21,6 ft 0 in,"Cambridge, New York",Episode 12,1
20,Bianca Alexa,18,1.77 m,"Los Angeles, California",Episode 3,16
20,Chris Schellenger,24,1.76 m,"Houston, Texas",Episode 3,15
20,Chlea Ramirez,20,1.78 m,"Bear, Delaware",Episode 4,14
20,Mike Scocozza,27,1.95 m,"Los Angeles, California",Episode 5,13
20,Kanani Andaluz,19,1.71 m,"Chicago, Illinois",Episode 7,12
20,Jiana Davis,20,1.78 m,"Denver, Colorado",Episode 8,11
20,Phil Sullivan,24,1.92 m,"Lanesborough, Massachusetts",Episode 9,10
20,Alex Agro,21,1.76 m,"Palm City, Florida",Episode 11,9
20,Don Benjamin,25,1.83 m,"Minneapolis, Minnesota",Episode 12,8
20,Nina Burns,18,1.74 m,"Berkeley Heights, New Jersey",Episode 13,7
20,Jeremy Rohmer,19,1.90 m,"Mission Viejo, California",Episode 13,6
20,Renee Bhagwandeen,24,1.73 m,"Fort Lauderdale, Florida",Episode 14,5
20,Chris Hernandez,25,1.86 m,"North Bergen, New Jersey",Episode 14,4
20,Cory Hindorff,22,1.88 m,"Philadelphia, Pennsylvania",Episode 16,3
20,Marvin Cortes,20,1.85 m,"The Bronx, New York",Episode 16,2
20,Jourdan Miller,19,1.85 m,"Bend, Oregon",Episode 16,1
21,Ivy Timlin,20,5 ft 8 in,"Buffalo, New York",Episode 3,14
21,Romeo Tostado,23,6 ft 0.5 in,"Salinas, California",Episode 5,13
21,Ben Schreen,24,6 ft 3 in,"Waverly, Iowa",Episode 6,12
21,Kari Calhoun,23,5 ft 8.5 in,"Coppell, Texas",Episode 7,11
21,Matthew Smith,24,6 ft 4 in,"Highlands Ranch, Colorado",Episode 8,10
21,Denzel Wells,23,5 ft 10.25 in,"Houston, Texas",Episode 9,9
21,Mirjana Puhar ‰ÛÊ,18,5 ft 8.5 in,"Charlotte, North Carolina",Episode 10,8
21,Raelia Lewis,22,6 ft 0.5 in,"Philadelphia, Pennsylvania",Episode 12,7
21,Chantelle Young,19,5 ft 8.25 in,"Toronto, Ontario, Canada",Episode 13,6
21,Shei Phan,23,5 ft 9.25 in,"Oklahoma City, Oklahoma",Episode 14,5
21,Lenox Tillman,19,5 ft 9.5 in,"Newnan, Georgia",Episode 16,4
21,Adam Smith,26,5 ft 10.25 in,"Memphis, Tennessee",Episode 16,3
21,Will Jardell,23,6 ft 4.75 in,"Nederland, Texas",Episode 16,2
21,Keith Carlos,26,6 ft 1 in,"Bridgeport, Connecticut",Episode 16,1
22,Delanie Dischert,21,5 ft 10.5 in,"Wilmington, Delaware",Episode 3,14
22,Stefano Churchill,23,6 ft 1 in,"Virginia Beach, Virginia",Episode 4,13
22,Ava Capra,19,5 ft 5 in,"Los Angeles, California",Episode 6,12
22,Ashley Molina,21,5 ft 7 in,"Brooklyn, New York",Episode 7,11
22,"DuPerow, Courtney !Courtney DuPerow",21,5 ft 3 in,"Avon Lake, Ohio",Episode 8,10
22,Bello SÌÁnchez,26,5 ft 9 in,"Los Angeles, California",Episode 8,9
22,Justin Kim,23,6 ft 1 in,"Springfield, Virginia",Episode 9,8
22,Dustin McNeer,18,6 ft 0 in,"Kernersville, North Carolina",Episode 10,7
22,Hadassah Richardson,23,5 ft 6 in,"Houston, Texas",Episode 12,6
22,Devin Clark,21,6 ft 2 in,"San Francisco, California",Episode 13,5
22,Michael Heverly,25,6 ft 2 in,"Hollywood, Florida",Episode 16,3
22,Lacey Rogers,18,5 ft 8 in,"El Dorado, Arkansas",Episode 16,3
22,MamÌ© Adjei,23,5 ft 8 in,"Silver Spring, Maryland",Episode 16,2
22,Nyle DiMarco,25,6 ft 2 in,"Washington, D.C.",Episode 16,1
23,Justine Biticon,18,,"Panorama City, California",Episode 2,14
23,Cherish Waters,25,,"Los Angeles, California",Episode 3,13
23,Giah Hardeman,21,,"Bryan-College Station, Texas",Episode 5,12
23,Krislian Rodriguez,25,,"Los Angeles, California",Episode 6,11
23,Kyle McCoy,23,,"Darien, Connecticut",Episode 7,10
23,Binta Dibba,25,,"Seattle, Washington",Episode 8,9
23,Marissa Hopkins,18,,"Houston, Texas",Episode 9,8
23,Paige Mobley,22,,"Birmingham, Michigan",Episode 10,7
23,Tash Wells,26,,"San Jose, California",Episode 11,6
23,Cody Wells,26,,"San Jose, California",Episode 12,5
23,Courtney Nelson,25,,"San Francisco, California",Episode 14,4
23,Cory Anne Roberts,19,,"Los Angeles, California",Episode 15,3
23,Tatiana Price,21,,"Queens, New York",Episode 15,2
23,India Gants,20,,"Seattle, Washington",Episode 15,1
